name,cuisines,avg_cost_for_two,has_online_delivery,has_table_booking,price_range,aggregate_rating,rating_text,votes,city,locality,latitude,longitude,currency,price_label,primary_cuisine,rating_cat,delivery_label
Curries & Kebabs,"North Indian, Mughlai, Chinese",500,1,0,2,2.7,Average,7,New Delhi,Jangpura,28.5791847000,77.2583408000,Rs.,Moderate,North Indian,Poor,Has Delivery
New Evergreen Hotel,"North Indian, Mughlai",450,0,0,1,2.9,Average,7,New Delhi,Jangpura,28.5844282000,77.2476766000,Rs.,Budget,North Indian,Poor,No Delivery
Chawla Snacks,North Indian,250,0,0,1,2.9,Average,4,New Delhi,Jangpura,28.5826876000,77.2467751000,Rs.,Budget,North Indian,Poor,No Delivery
The Biryani Hut,Biryani,400,0,0,1,2.9,Average,5,New Delhi,Jangpura,28.5818185000,77.2473854000,Rs.,Budget,Biryani,Poor,No Delivery
New Shere Punjab Dhaba,North Indian,600,0,0,2,3.6,Good,91,New Delhi,Kalkaji,28.5406970000,77.2570837000,Rs.,Moderate,North Indian,Good,No Delivery
Big Dragon,"Chinese, Thai",800,0,1,2,3.6,Good,108,New Delhi,Kalkaji,28.5431940327,77.2518873587,Rs.,Moderate,Chinese,Good,No Delivery
Shiv Dhaba,"North Indian, Chinese",550,0,0,2,3.1,Average,92,New Delhi,Kalkaji,28.5429843000,77.2519915000,Rs.,Moderate,North Indian,Average,No Delivery
Mehak Food Corner,North Indian,350,0,0,1,3.2,Average,87,New Delhi,Kalkaji,28.5436903074,77.2508761659,Rs.,Budget,North Indian,Average,No Delivery
Roll Club,Fast Food,250,0,0,1,3.3,Average,91,New Delhi,Kalkaji,28.5430635577,77.2520321980,Rs.,Budget,Fast Food,Average,No Delivery
Crispy Tokri,Street Food,200,0,0,1,3.1,Average,100,New Delhi,Kalkaji,28.5402454946,77.2581057250,Rs.,Budget,Street Food,Average,No Delivery
Gopal's 56,"Ice Cream, Desserts, North Indian, Street Food",200,0,0,1,3.8,Good,71,New Delhi,Kalkaji,28.5344450778,77.2581405938,Rs.,Budget,Ice Cream,Good,No Delivery
Just Vada Pav,Street Food,150,0,0,1,3.6,Good,94,New Delhi,Kalkaji,28.5428612181,77.2529307380,Rs.,Budget,Street Food,Good,No Delivery
Uncle Xpress,Chinese,400,1,0,1,3.4,Average,80,New Delhi,Kalkaji,28.5416604262,77.2553943470,Rs.,Budget,Chinese,Average,Has Delivery
Heaven's Kitchen,"North Indian, Mughlai, Chinese",500,1,0,2,3.3,Average,85,New Delhi,Kalkaji,28.5307224870,77.2569097951,Rs.,Moderate,North Indian,Average,Has Delivery
Chowki,North Indian,750,1,0,2,3.7,Good,89,New Delhi,Kalkaji,28.5428712320,77.2480048612,Rs.,Moderate,North Indian,Good,Has Delivery
FreshMenu,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",600,1,0,2,3.6,Good,36,New Delhi,Kalkaji,28.5306720000,77.2572160000,Rs.,Moderate,Italian,Good,Has Delivery
Shameem Kabab Corner,"North Indian, Mughlai",700,0,0,2,3.3,Average,67,New Delhi,Kalkaji,28.5418542267,77.2565745190,Rs.,Moderate,North Indian,Average,No Delivery
Mr. Sub,Fast Food,400,1,0,1,3.2,Average,57,New Delhi,Kalkaji,28.5407276456,77.2570509464,Rs.,Budget,Fast Food,Average,Has Delivery
Prince of China,"Thai, Chinese, Seafood",800,1,0,2,3.1,Average,70,New Delhi,Kalkaji,28.5417287571,77.2567793727,Rs.,Moderate,Thai,Average,Has Delivery
